@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44}

@data
484,'2020/10/15 21:38:54:071',523,15.242492,-2.312395,0.137471,711.197144,94.708961,-7.221292,73.652641,-7.572569,0.396764,5.977586,-0.531288,0.049406,6.461154,-0.480574,0.027703,44
485,'2020/10/15 21:38:54:615',524,13.760424,-0.497719,-0.067465,890.537109,-87.075439,13.019297,91.75164,-7.405082,-0.041792,19.047953,-3.794896,0.238152,6.878776,-0.205848,-0.022582,1
486,'2020/10/15 21:38:55:297',525,14.745537,-1.817584,0.154298,2096.934814,-233.3629,25.017153,6.716128,1.697372,-0.140796,5.992531,-0.012958,-0.000979,1.756764,0.199577,-0.020642,2
487,'2020/10/15 21:38:55:810',526,16.973026,5.499264,-0.81671,3204.296143,255.849899,-35.64344,2.874499,0.004639,0.006633,7.511307,-0.258889,-0.024633,0.680191,-0.04995,0.010166,3
488,'2020/10/15 21:38:56:695',527,5.30957,1.015396,-0.010436,2279.95752,16.866383,3.289524,6.698181,0.087266,-0.014279,3.734166,0.258485,-0.008952,1.228635,0.032548,-0.003738,4
489,'2020/10/15 21:38:57:228',528,18.052006,2.144293,-0.398789,3719.763672,323.796387,-43.0256,2.627658,-0.385918,0.059663,3.9126,0.269577,-0.039702,0.35851,-0.130467,0.019523,5
490,'2020/10/15 21:38:58:178',529,13.996268,-0.380881,0.020046,2025.942505,315.393494,-4.341251,5.765349,-0.220249,0.004121,2.865385,0.070674,-0.001763,2.070836,-0.254285,0.004869,6
491,'2020/10/15 21:38:59:169',530,12.914427,-0.329853,0.027601,8158.843262,-468.487915,11.471858,2.412534,0.181121,-0.005467,4.567521,-0.084581,0.003184,-2.123191,0.311235,-0.007446,7
492,'2020/10/15 21:38:59:724',531,21.159508,0.167462,-0.193889,3370.709229,240.41423,-40.481358,5.234204,-1.105167,0.151358,3.368933,0.401398,-0.031232,1.212465,-0.136374,0.023011,8
493,'2020/10/15 21:39:00:257',532,10.452908,2.564284,-0.37624,2464.456055,-340.800262,24.386795,-1.615628,5.92685,-0.477,9.88399,-2.115279,0.173669,0.59945,0.712887,-0.056291,9
